playerid,Name,Team,PA,HR,SB,Off,wRC+,wOBA,ISO+,Barrel%,BsR,Spd,BB%+,K%+,Oppo%+,EV,maxEV,xwOBA,Total Z-Score
10264,Brandon Belt,SFG,-0.98,-0.56,-0.71,-0.33,-0.18,-0.2,-0.33,1.2,-0.32,-0.53,1.42,0.76,1.0,-0.11,-0.85,0.47,-0.23
7739,Travis d'Arnaud,ATL,-0.09,0.54,-0.85,0.26,0.75,0.89,0.92,0.19,-1.17,-0.76,-1.34,-0.22,0.07,-0.07,0.54,0.1,-0.25
21618,Alec Bohm,PHI,1.35,-0.01,-0.56,-0.32,-0.1,-0.01,-0.7,-0.23,-0.15,-0.24,-1.16,-0.8,1.23,0.72,0.02,0.68,-0.3
2434,Nelson Cruz,WSN,0.48,-0.34,-0.28,-0.99,-0.6,-0.5,-0.99,0.38,-1.01,-0.47,0.48,0.18,0.94,1.05,1.06,0.3,-0.31
17982,Ty France,SEA,1.22,0.76,-0.85,0.87,0.98,0.73,0.22,-0.58,-0.91,-1.34,-0.79,-1.09,0.65,-0.48,-0.12,0.33,-0.4
21987,Rodolfo Castro,PIT,-1.12,-0.23,-0.14,-0.09,0.09,0.13,0.71,-0.26,0.11,0.86,-0.13,0.69,0.13,-0.62,0.29,-0.86,-0.45
14566,Franmil Reyes,- - -,0.24,0.1,-0.56,-1.12,-0.79,-0.82,-0.15,0.88,-0.87,-0.36,-0.62,1.81,0.65,1.56,0.57,-1.01,-0.49
11038,Kevin Kiermaier,TBR,-1.52,-0.67,0.0,-0.12,-0.41,-0.66,-0.18,-0.21,1.06,0.63,-0.56,0.9,1.99,-0.34,-0.29,-0.14,-0.52
13590,Jesse Winker,SEA,0.76,0.1,-0.85,-0.1,0.32,0.08,-0.47,-0.03,-1.4,-1.69,2.69,-0.51,0.24,-0.44,-0.26,1.02,-0.53
12160,Ben Gamel,PIT,-0.11,-0.45,-0.14,-0.17,-0.14,-0.06,-0.33,-0.38,0.47,0.16,1.05,0.1,-0.28,0.07,-0.54,0.18,-0.55
26294,Bryson Stott,PHI,0.19,-0.34,0.86,-0.46,-0.64,-0.58,-0.59,-0.82,1.55,0.97,-0.22,-0.55,1.7,-0.25,-0.81,-0.74,-0.73
10243,Randal Grichuk,COL,0.7,0.65,-0.28,-0.79,-0.48,0.13,0.19,-0.23,-0.38,0.34,-1.34,0.18,0.48,0.63,0.29,-0.83,-0.75
19890,Emmanuel Rivera,- - -,-0.56,-0.12,-0.71,-0.36,-0.22,-0.12,0.45,0.38,-0.29,0.11,-0.62,0.14,0.24,0.82,0.05,0.01,-0.77
24679,Brendan Donovan,STL,0.21,-0.89,-0.56,0.81,1.09,1.06,-1.08,-1.07,-0.61,-0.53,1.54,-1.2,1.35,-0.44,-1.3,0.85,-0.78
10028,Christian Bethancourt,- - -,-0.74,-0.23,-0.14,-0.22,0.02,-0.25,0.14,0.98,-0.32,0.11,-1.57,0.32,-0.81,0.68,0.92,0.24,-0.88
12144,Max Kepler,MIN,0.05,-0.45,-0.42,-0.29,-0.22,-0.33,-0.56,-0.16,0.27,-0.24,1.11,-1.17,-0.69,0.21,1.09,0.82,-0.97
20036,Isaac Paredes,TBR,-0.4,0.76,-0.85,0.26,0.59,0.35,1.55,-0.33,-0.22,-1.22,1.31,-0.73,-1.04,-0.58,-0.12,-0.37,-1.03
9847,Andrew McCutchen,MIL,0.99,0.43,0.29,-0.54,-0.1,-0.03,-0.15,0.21,-1.33,-0.47,0.53,-0.15,-1.39,0.21,-0.05,0.44,-1.11
18900,Leody Taveras,TEX,-0.68,-0.89,0.71,-0.21,-0.29,-0.36,-0.88,-0.85,0.73,1.03,-0.65,0.61,0.65,0.35,0.74,-1.15,-1.12
21524,Joey Bart,SFG,-1.03,-0.23,-0.56,-0.5,-0.41,-0.44,-0.12,0.58,-0.48,-0.53,0.22,2.57,-0.4,-0.62,1.23,-0.4,-1.13
20126,Dylan Carlson,STL,0.35,-0.56,-0.14,0.11,-0.02,-0.12,-0.21,-0.82,1.25,0.63,0.3,-0.51,0.36,-1.18,-0.54,-0.25,-1.35
14111,Eric Haase,DET,-0.61,0.1,-0.85,0.05,0.44,0.32,0.74,0.24,-0.48,-0.99,-0.39,0.9,0.13,-0.44,-0.29,-0.22,-1.36
4314,Joey Votto,CIN,-0.44,-0.23,-0.85,-0.69,-0.33,-0.01,0.16,0.83,-1.33,-1.34,1.17,0.54,-0.11,0.49,0.4,0.36,-1.38
12180,Jorge Alfaro,SDP,-1.15,-0.67,-0.71,-0.39,-0.41,-0.52,-0.36,0.85,0.01,-0.82,-1.48,2.14,0.65,0.35,1.54,-0.43,-1.39
10681,Gio Urshela,MIN,0.79,-0.01,-0.71,0.22,0.71,0.59,-0.12,-0.18,-2.02,-0.47,-0.19,-0.77,0.42,0.12,-0.16,0.39,-1.39
15161,Mitch Garver,TEX,-1.56,-0.34,-0.71,-0.13,0.02,-0.06,0.92,0.26,0.14,-1.05,0.99,0.43,-1.16,0.12,0.23,0.27,-1.64
