name,team,position,adp,olinerank,sosrank,playerscore
Jonnu Smith,MIA,TE29,248,14,7,269
Justice Hill,BAL,RB63,223,16,30,269
Miles Sanders,CAR,RB71,242,21,7,270
Troy Franklin,DEN,WR85,233,22,19,274
Jalin Hyatt,NYG,WR83,226,26,23,275
Roman Wilson,PIT,WR82,219,26,31,276
Tyrone Tracy Jr,NYG,RB66,228,26,23,277
Jamaal Williams,NO,RB72,249,25,3,277
Jelani Woods,IND,TE31,260,10,9,279
Tank Bigsby,JAC,RB68,234,26,19,279
Trey Sermon,IND,RB75,262,10,9,281
Jonathan Mingo,CAR,WR92,253,21,7,281
Keaton Mitchell,BAL,RB69,235,16,30,281
Zay Jones,ARI,WR91,246,23,12,281
AT Perry,NO,WR94,258,25,3,286
Detroit Lions,DET,DST16,264,2,21,287
Cincinnati Bengals,CIN,DST17,266,12,11,289
Gerald Everett,CHI,TE34,272,14,3,289
Alec Pierce,IND,WR96,270,10,9,289
Minnesota Vikings,MIN,DST15,259,9,21,289
Kendrick Bourne,NE,WR87,239,24,27,290
Dustin Hopkins,CLE,K13,250,9,31,290
Jason Myers,SEA,K15,255,27,11,293
Jordan Mason,SF,RB76,265,9,19,293
JaTavion Sanders,CAR,TE33,267,21,7,295
Michael Mayer,LV,TE30,252,20,24,296
Treylon Burks,TEN,WR93,256,25,18,299
Evan Hull,IND,RB79,284,10,9,303
Dawson Knox,BUF,TE32,263,16,24,303
Justin Fields,PIT,QB31,247,26,31,304
Dylan Laube,LV,RB74,261,20,24,305
Drake Maye,NE,QB32,257,24,27,308
Zach Ertz,WAS,TE35,274,20,14,308
Josh Reynolds,DEN,WR95,268,22,19,309
Luke McCaffrey,WAS,WR98,276,20,14,310
Kadarius Toney,KC,WR105,295,4,13,312
Greg Zuerlein,NYJ,K17,288,13,11,312
Jalen Tolbert,DAL,WR101,281,11,20,312
Samaje Perine,DEN,RB77,271,22,19,312
Gardner Minshew II,LV,QB33,269,20,24,313
