player_name,MLBAMID,P_THROWS,Pitches,Appearances,STUFFplus,LOCATIONplus,PITCHINGplus
Adonis Medina,658431,R,413,14,88.4,96.6,93
Andre Pallante,669467,R,1766,48,88.4,97.8,95.5
Drew Hutchison,571800,R,1753,28,88.4,98.5,94.8
Jose Cuas,621016,R,687,47,88.3,95.8,94.3
Spencer Patton,607359,R,111,7,88.3,92.5,89.6
Craig Stammen,489334,R,698,33,88.2,102.2,96.8
Jordan Lyles,543475,R,2986,32,88.2,100.1,97.2
Jaime Barria,642545,R,1120,35,88.1,101.8,97.7
Jhoulys Chacin,468504,R,784,35,88.1,97.6,93.7
Mark Appel,571446,R,149,6,88.1,92.8,89.7
Ralph Garza Jr.,621248,R,514,19,88.1,98.3,97.1
Angel De Jesus,669804,R,192,8,88,99.4,99.1
Chris Paddack,663978,R,367,5,88,106.5,100.4
Spencer Howard,675921,R,692,10,88,101.9,96.7
Max Castillo,666721,R,697,14,87.9,99.1,93.4
Chris Devenski,606965,R,241,13,87.8,103.8,102.2
Conner Menez,669214,L,24,1,87.8,78.5,79.2
Gavin Hollowell,668970,R,143,6,87.8,93.8,97.8
Tanner Banks,621383,L,897,35,87.8,105.6,103.2
Zack Greinke,425844,R,2272,26,87.8,103,99.1
Kyle Muller,666205,L,233,3,87.6,101.3,98.6
Ronald Bolanos,671790,R,332,8,87.6,89.8,86.2
Noah Syndergaard,592789,R,2131,29,87.5,104.8,101.2
Sergio Romo,489265,R,335,23,87.5,96.3,94.2
A.J. Alexy,669935,R,152,4,87.4,81.7,81.9
Daniel Lynch,663738,L,2435,27,87.3,99,94.4
Justin Lawrence,664875,R,762,38,87.3,98,103.1
JP Sears,676664,L,1078,17,87.1,97.8,94.8
Kirby Snead,669912,L,779,46,87,96.8,96.8
Luis Castillo,622379,R,60,3,87,102.3,99
Spenser Watkins,657093,R,1631,23,87,101.1,99.2
Huascar Ynoa,660623,R,147,2,86.7,86.5,87.6
Francisco Perez,660906,L,205,10,86.6,94.6,90.6
Paul Blackburn,621112,R,1759,21,86.6,102.3,97.2
Bryce Elder,693821,R,873,10,86.5,99.1,95
Tyler Alexander,641302,L,1591,27,86.5,103.6,98.2
Will Smith,519293,L,985,65,86.4,99.8,96.5
Kyle Tyler,667725,R,40,2,86.3,96,100.5
Jason Alexander,669920,R,1160,18,86.2,99.9,93
Jake Bird,656234,R,744,38,86.1,96.5,91.2
James Kaprielian,621076,R,2228,26,86.1,99.5,95.2
Ranger Suarez,624133,L,2799,34,86.1,101,96.3
Ryan Weathers,677960,L,89,1,86.1,85.2,86.9
Madison Bumgarner,518516,L,2712,30,86,99.2,93.6
Justus Sheffield,656954,L,179,6,85.9,89,86.4
Jhon Romero,664584,R,90,4,85.8,99.3,99.8
Reiss Knehr,663753,R,242,5,85.8,95.3,94.5
Nick Wittgren,621295,R,481,29,85.7,99,92.3
Alex Young,622065,L,445,25,85.5,99,94.4
Erick Fedde,607200,R,2356,27,85.5,101.2,93.9
Collin Wiles,621079,R,154,4,85.4,104.8,99.4
Josh Fleming,676596,L,659,10,85.4,105.7,99.1
Garrett Hill,682051,R,1012,17,85.3,96.4,93.3
JoJo Romero,668941,L,271,17,85.3,93.3,91
Jose Alvarez,501625,L,268,21,85.3,95.4,92
Robert Dugger,667498,R,284,4,85.3,101.3,96.6
Bryse Wilson,669060,R,1824,25,85.1,101.1,96.7
Matthew Liberatore,669461,L,647,9,85,96.6,92.7
Jacob Lemoine,621082,R,297,9,84.8,94.6,90.1
Zach Thompson,605507,R,2077,29,84.6,100.5,94.7
