"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Luke Musgrave","TE","GB","3","157","52","83","0","10","7","10","12.4","7.9"
"Colby Parkinson","TE","SEA","3","111","37","56","0","8","5","8","8.7","7.8"
"Chase Claypool","WR","CHI","3","144","48","81","0","10","3","10","11.1","7.7"
"Elijah Moore","WR","CLE","3","172","57","74","3","15","12","18","13.1","7.6"
"Darius Slayton","WR","NYG","3","145","48","77","0","12","6","12","10.9","7.5"
"Josh Downs","WR","IND","3","167","56","78","0","14","9","14","12.4","7.4"
"Mike Gesicki","TE","NE","3","120","40","53","0","8","8","8","8.7","7.3"
"Allen Lazard","WR","NYJ","3","147","49","90","0","9","5","9","10.8","7.3"
"Marquez Valdes-Scantling","WR","KC","3","137","46","66","0","5","4","5","9.8","7.2"
"Andrew Ogletree","TE","IND","2","43","22","28","0","9","5","9","3.1","7.2"
"Cole Kmet","TE","CHI","3","147","49","83","1","10","8","11","10.4","7.1"
"Dawson Knox","TE","BUF","3","154","51","72","0","7","5","7","10.6","6.9"
"Kyle Pitts","TE","ATL","3","141","47","70","1","12","7","13","9.6","6.8"
"Odell Beckham Jr.","WR","BAL","2","98","49","71","0","7","5","7","6.6","6.7"
"Trey McBride","TE","ARI","3","86","29","46","0","7","6","7","5.7","6.6"
"Michael Gallup","WR","DAL","3","158","53","70","0","7","5","7","10.5","6.6"
"Jonnu Smith","TE","ATL","3","129","43","64","0","11","7","11","8.4","6.5"
"Allen Robinson II","WR","PIT","3","153","51","85","0","10","7","10","10.0","6.5"
"Zach Ertz","TE","ARI","3","128","43","68","0","16","11","16","8.3","6.5"
"Ja'Marr Chase","WR","CIN","2","113","57","97","1","15","10","16","7.2","6.4"
"Brock Wright","TE","DET","1","27","27","39","0","7","7","7","1.7","6.3"
"Hunter Renfrow","WR","LV","2","63","32","56","0","5","5","5","4.0","6.3"
"Alec Ingold","RB","MIA","2","55","28","39","4","4","7","7","3.4","6.2"
"Tyler Boyd","WR","CIN","2","102","51","87","0","11","8","11","6.2","6.1"
"John Bates","TE","WAS","3","95","32","48","0","7","5","7","5.8","6.1"
"Antonio Gibson","RB","WAS","3","93","31","47","8","10","15","17","5.6","6.0"
"Tyler Conklin","TE","NYJ","3","132","44","80","0","9","7","9","7.8","5.9"
"DeVante Parker","WR","NE","2","129","65","88","0","9","6","9","7.6","5.9"
"Trent Sherfield","WR","BUF","1","31","31","46","0","10","6","10","1.8","5.8"
"Samori Toure","WR","GB","3","77","26","41","0","10","4","10","4.4","5.7"
"Foster Moreau","TE","NO","1","36","36","47","0","6","6","6","2.0","5.6"
"Jaxon Smith-Njigba","WR","SEA","3","103","34","52","0","14","9","14","5.7","5.5"
"Noah Gray","TE","KC","3","145","48","69","0","7","5","7","7.8","5.4"
"Durham Smythe","TE","MIA","3","154","51","76","0","7","5","7","8.2","5.3"
"Dalton Kincaid","TE","BUF","3","137","46","64","0","9","8","9","7.2","5.3"
