"Name","Team","xERA","K-BB%","Barrel%","CSW%","Starting","Relieving","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Brandon Hughes","CHC","3.86","19.7%","11.1%","30.6%","","-2.8","239","0","8","95","119","156","85","80","23460"
"Tim Mayza","TOR","4.17","16.6%","7.4%","27.9%","","0.7","193","0","2","74","132","120","89","95","15042"
"Tanner Houck","BOS","3.86","13.8%","4.9%","28.6%","3.2","3.4","247","4","8","93","92","42","94","100","19879"
"Andrew Kittredge","TBR","2.94","16.0%","8.5%","26.6%","","-1.5","75","0","5","96","253","167","68","70","12828"
"Wade Miley","CHC","3.86","8.8%","5.2%","29.2%","4.8","0.3","159","8","0","110","73","66","95","86","8779"
"Bryce Elder","ATL","4.25","10.6%","5.8%","26.2%","7.0","0.3","227","9","0","104","72","60","97","91","27779"
"Andre Pallante","STL","3.78","7.2%","3.2%","24.5%","5.2","0.3","457","10","0","93","67","68","111","107","26108"
"Luis Severino","NYY","2.94","20.2%","6.9%","28.1%","13.1","","405","19","0","86","135","115","80","83","15890"
"Justin Steele","CHC","3.59","14.8%","3.9%","26.0%","24.1","","512","24","0","87","92","55","106","109","17312"
"John Brebbia","SFG","3.49","12.5%","6.5%","26.1%","3.2","5.2","288","11","0","112","110","60","102","108","12777"
"Jose Alvarado","PHI","2.53","26.6%","6.5%","32.3%","","15.6","214","0","2","55","124","32","95","116","17780"
"Kendall Graveman","CHW","3.51","14.0%","4.2%","29.3%","","6.5","285","0","6","87","92","64","112","113","15514"
"Kyle Wright","ATL","3.89","16.4%","6.8%","29.7%","27.3","","738","30","0","83","120","86","91","97","19665"
"Keegan Akin","BAL","3.62","17.3%","6.5%","29.0%","1.0","3.4","329","1","2","84","139","102","87","93","19362"
"Logan Gilbert","SEA","4.11","16.3%","7.1%","25.1%","29.4","","766","32","0","96","128","86","94","102","22250"
"Trevor Williams","NYM","3.67","16.4%","7.7%","24.9%","-0.3","6.1","372","9","1","99","134","109","96","103","16977"
"Bailey Ober","MIN","4.71","17.6%","11.7%","27.3%","12.8","","227","11","0","106","167","60","84","97","21224"
"Johan Oviedo","- - -","3.17","12.8%","6.2%","27.7%","5.1","1.3","242","8","0","104","86","73","101","96","22487"
"Andrew Wantz","LAA","3.89","15.2%","10.9%","28.8%","0.3","-0.6","204","1","0","111","86","133","92","84","24933"
"Brady Singer","KCR","3.97","18.5%","8.2%","30.3%","26.4","0.0","621","24","0","83","155","98","91","105","25377"
"Dean Kremer","BAL","4.46","10.4%","7.3%","25.2%","15.7","0.9","512","21","0","112","92","73","100","104","19350"
"Joel Payamps","- - -","3.86","10.4%","7.7%","24.7%","","1.5","241","0","0","103","75","105","109","106","14332"
"Aaron Nola","PHI","2.74","25.5%","7.1%","32.4%","55.5","","807","32","0","70","297","76","75","99","16149"
"Jimmy Lambert","CHW","3.05","10.3%","4.5%","26.9%","0.5","2.6","204","2","0","117","68","71","109","97","19541"
"Albert Abreu","- - -","4.40","9.3%","5.5%","27.7%","","-1.6","172","0","0","109","62","108","118","101","17485"
"Anthony Bender","MIA","4.84","11.5%","9.6%","32.8%","","-1.4","78","0","6","92","78","127","101","98","19742"
"Brusdar Graterol","LAD","2.47","16.8%","4.3%","25.6%","0.4","7.4","197","1","4","78","154","49","77","89","20367"
"Connor Brogdon","PHI","3.17","20.7%","6.3%","30.3%","","5.3","188","0","2","87","167","111","98","108","21205"
"Gregory Soto","DET","4.08","9.9%","6.2%","26.0%","","5.2","263","0","30","117","64","28","110","102","19677"
"Miles Mikolas","STL","3.89","14.2%","6.9%","26.0%","26.0","0.3","805","32","0","95","144","101","81","85","9803"
"Manuel Rodriguez","CHC","5.38","-1.8%","5.0%","21.7%","","-1.9","57","0","4","122","33","60","109","79","20794"
"Tanner Rainey","WSN","3.97","18.0%","10.1%","28.4%","","2.4","128","0","12","100","102","136","102","97","17610"
"Andrew Bellatti","PHI","3.64","23.0%","12.7%","30.4%","0.3","9.1","230","1","2","85","114","75","104","119","10657"
"Tyler Thornburg","- - -","3.10","3.4%","1.6%","23.2%","","-0.1","87","0","0","150","46","44","112","86","10688"
"Jesus Luzardo","MIA","3.39","21.3%","6.6%","31.0%","20.1","","400","18","0","78","126","81","81","87","19959"
"Michael Wacha","BOS","4.56","14.2%","9.6%","24.7%","14.3","","515","23","0","101","121","118","89","91","14078"
"Domingo Acevedo","OAK","3.46","15.4%","7.4%","27.9%","","0.3","266","0","4","98","123","111","79","80","17092"
"Drew Smith","NYM","3.78","20.3%","11.8%","29.0%","","-0.6","187","0","0","93","130","160","90","90","17755"
"Andres Machado","WSN","5.31","7.7%","8.6%","26.1%","","-1.1","261","0","0","114","65","96","107","91","14681"
"Ralph Garza","TBR","5.63","0.7%","6.8%","25.9%","","-3.3","153","0","0","135","38","96","123","104","17682"
"Kevin Gausman","TOR","3.34","24.4%","8.1%","29.8%","50.0","","725","31","0","69","264","72","99","127","14107"
"Johnny Cueto","CHW","4.02","10.6%","7.3%","23.3%","22.9","-0.3","651","24","0","111","112","79","98","103","6893"
"Griffin Jax","MIN","3.17","20.0%","6.9%","32.0%","","8.2","290","0","1","84","141","81","84","94","20253"
"Merrill Kelly","ARI","3.62","14.4%","8.3%","26.7%","31.1","","804","33","0","97","106","86","89","92","11156"
"Blake Snell","SDP","3.19","22.4%","7.4%","29.0%","33.0","","535","24","0","81","123","70","94","105","13543"
"Adbert Alzolay","CHC","2.22","32.7%","10.0%","31.6%","","4.6","52","0","0","58","348","61","64","95","17859"
"Kenley Jansen","ATL","2.34","24.2%","7.3%","29.9%","","10.3","260","0","41","87","142","102","82","89","3096"
"Eli Morgan","CLE","2.90","23.0%","8.9%","27.9%","-0.4","6.2","256","1","0","90","200","125","71","79","20203"
"Jeff Brigham","MIA","3.94","17.8%","6.3%","29.6%","","2.0","101","0","1","97","103","102","104","108","16631"
"Zack Weiss","LAA","2.41","19.6%","10.0%","33.0%","","0.4","56","0","0","95","93","125","84","62","15444"
"Kevin Ginkel","ARI","2.90","15.3%","4.9%","31.3%","","5.2","124","0","1","90","100","28","101","110","19876"
"Mychal Givens","- - -","3.70","17.7%","8.2%","28.6%","0.2","1.5","260","1","2","92","104","106","103","109","10430"
"Cal Quantrill","CLE","4.31","10.5%","7.5%","23.8%","20.8","","770","32","0","111","98","94","96","97","19312"
"George Kirby","SEA","3.31","20.5%","8.6%","25.9%","27.4","","542","25","0","84","218","84","96","115","25436"
"Michael Fulmer","- - -","3.78","12.0%","4.4%","27.5%","","6.2","276","0","3","113","79","53","109","108","13218"
"Luis Garcia","SDP","2.83","19.7%","4.1%","29.8%","","15.0","259","0","3","78","147","40","95","111","6984"
"Dany Jimenez","OAK","2.81","11.0%","4.3%","34.3%","","3.9","145","0","11","114","68","49","95","80","21170"
"Alex Lange","DET","3.29","18.8%","5.2%","34.4%","","6.9","271","0","0","82","96","66","98","99","19883"
"Chris Bassitt","NYM","3.46","15.8%","6.6%","29.2%","25.4","","745","30","0","93","125","85","90","97","12304"
"Corey Knebel","PHI","3.80","6.7%","5.7%","26.8%","","-0.3","194","0","12","121","54","73","107","83","15010"
"Matt Manning","DET","4.00","11.0%","6.2%","24.7%","9.7","","263","12","0","111","91","80","94","90","20369"
