"Name","Team","xERA","K-BB%","Barrel%","CSW%","Starting","Relieving","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Carlos Rodon","SFG","2.64","26.1%","6.5%","30.6%","54.3","","710","31","0","73","167","55","80","100","16137"
"Martin Perez","TEX","3.59","12.2%","4.3%","27.2%","35.3","","821","32","0","96","88","47","100","103","6902"
"Logan Webb","SFG","3.59","14.5%","5.5%","29.3%","38.7","","787","32","0","83","122","47","91","100","17995"
"Patrick Sandoval","LAA","3.91","14.3%","5.7%","29.2%","33.9","","638","27","0","93","91","45","107","110","19447"
"Sam Moll","OAK","2.96","12.8%","5.2%","29.2%","","-0.3","187","0","0","103","76","96","101","88","14874"
"Erasmo Ramirez","WSN","3.49","13.5%","4.9%","26.1%","-2.1","5.4","347","2","0","99","160","104","84","91","10314"
"Jose Quintana","- - -","3.86","13.3%","5.5%","25.3%","36.5","","679","32","0","93","107","39","95","103","11423"
"Joe Musgrove","SDP","3.27","19.2%","6.0%","30.8%","32.3","","740","30","0","87","161","99","85","95","12970"
"Corbin Burnes","MIL","3.05","24.1%","5.7%","32.1%","41.8","","797","33","0","72","175","93","75","89","19361"
"Nabil Crismatt","SDP","3.49","15.4%","5.2%","30.0%","0.5","7.0","280","1","0","87","108","61","92","96","17732"
"Brad Boxberger","MIL","3.44","15.3%","6.4%","30.7%","","7.0","268","0","1","102","92","77","96","96","10133"
"Triston McKenzie","CLE","3.54","19.7%","9.8%","27.6%","32.8","0.1","741","30","0","95","156","109","76","83","18000"
"Jonathan Hernandez","TEX","4.08","7.6%","4.7%","27.4%","","0.0","131","0","4","101","57","55","113","100","17464"
"Ryan Pressly","HOU","2.62","28.6%","5.8%","33.2%","","13.0","182","0","33","55","181","69","71","91","7005"
"Steven Okert","MIA","3.22","16.7%","5.6%","30.6%","","-1.0","221","0","0","104","89","111","91","78","13580"
"Penn Murfee","SEA","2.64","21.3%","5.1%","29.8%","0.5","6.1","272","1","0","91","153","84","76","85","25174"
"Luis Castillo","- - -","3.31","19.8%","6.8%","28.4%","33.5","","615","25","0","81","135","71","86","95","15689"
"Seranthony Dominguez","PHI","3.36","18.8%","8.1%","27.2%","","9.4","207","0","9","82","102","64","89","92","19249"
"Zach Jackson","OAK","3.59","16.8%","10.0%","29.5%","","8.5","202","0","3","105","73","17","101","95","19493"
"Edward Cabrera","MIA","4.05","14.4%","8.6%","30.6%","3.0","","291","14","0","103","83","114","84","71","21690"
"Ross Stripling","TOR","3.57","17.0%","9.2%","27.5%","28.3","0.2","536","24","1","93","200","75","81","94","13273"
"Dylan Floro","MIA","3.05","15.0%","5.1%","28.2%","","6.5","220","0","10","90","117","61","92","99","13394"
"Joey Wentz","DET","3.62","10.4%","7.4%","24.1%","5.0","","135","7","0","116","75","51","88","80","19962"
"Enyel De Los Santos","CLE","3.91","20.5%","9.6%","28.9%","","9.4","215","0","1","80","130","47","85","98","18403"
"Giovanny Gallegos","STL","2.92","23.4%","9.0%","31.8%","","12.6","235","0","14","88","149","83","80","89","14986"
"Brandon Woodruff","MIL","3.15","23.9%","7.0%","31.0%","32.5","","620","27","0","79","166","96","84","98","16162"
"Chris Martin","- - -","2.55","30.7%","8.3%","29.0%","","15.1","225","0","2","51","543","87","77","108","11847"
"Dillon Tate","BAL","3.15","15.1%","5.3%","29.6%","","4.5","292","0","5","86","135","68","79","88","17796"
"Tanner Banks","CHW","4.08","14.3%","7.4%","27.0%","","2.5","217","0","0","91","98","79","90","90","16990"
"Steven Wilson","SDP","2.83","15.4%","7.2%","28.8%","0.6","2.1","214","1","1","116","93","108","83","76","20353"
"Jacob deGrom","NYM","2.24","39.3%","9.3%","35.4%","19.2","","239","11","0","39","467","114","58","89","10954"
"Sonny Gray","MIN","3.67","16.6%","5.5%","29.4%","21.9","","488","24","0","93","117","77","90","97","12768"
"Huascar Brazoban","MIA","3.62","13.5%","5.1%","29.8%","","0.0","141","0","0","98","70","77","115","105","6107"
"Andrew Heaney","LAD","3.39","29.4%","11.0%","32.5%","8.0","2.4","310","14","0","71","212","157","85","100","15423"
"Yu Darvish","SDP","3.49","20.8%","9.0%","29.6%","38.8","","771","30","0","90","195","92","74","86","13074"
"Yimi Garcia","TOR","2.90","17.0%","6.5%","26.9%","","8.2","247","0","1","104","131","82","84","90","12095"
"Adrian Sampson","CHC","4.40","10.7%","6.7%","23.6%","12.9","0.9","428","19","0","110","92","78","96","99","13339"
"Javier Assad","CHC","4.49","6.0%","5.2%","25.1%","3.6","0.4","166","8","0","123","51","87","114","95","21741"
"A.J. Puk","OAK","3.70","18.9%","8.7%","30.8%","","2.7","281","0","4","93","119","88","91","97","19343"
"Clarke Schmidt","NYY","3.51","14.0%","9.7%","30.4%","4.1","0.0","236","3","2","100","88","72","96","95","19899"
"Brandon Hughes","CHC","3.86","19.7%","11.1%","30.6%","","-2.8","239","0","8","95","119","156","85","80","23460"
"Tim Mayza","TOR","4.17","16.6%","7.4%","27.9%","","0.7","193","0","2","74","132","120","89","95","15042"
"Tanner Houck","BOS","3.86","13.8%","4.9%","28.6%","3.2","3.4","247","4","8","93","92","42","94","100","19879"
"Wade Miley","CHC","3.86","8.8%","5.2%","29.2%","4.8","0.3","159","8","0","110","73","66","95","86","8779"
"Bryce Elder","ATL","4.25","10.6%","5.8%","26.2%","7.0","0.3","227","9","0","104","72","60","97","91","27779"
"Andre Pallante","STL","3.78","7.2%","3.2%","24.5%","5.2","0.3","457","10","0","93","67","68","111","107","26108"
"Luis Severino","NYY","2.94","20.2%","6.9%","28.1%","13.1","","405","19","0","86","135","115","80","83","15890"
"Justin Steele","CHC","3.59","14.8%","3.9%","26.0%","24.1","","512","24","0","87","92","55","106","109","17312"
"John Brebbia","SFG","3.49","12.5%","6.5%","26.1%","3.2","5.2","288","11","0","112","110","60","102","108","12777"
"Jose Alvarado","PHI","2.53","26.6%","6.5%","32.3%","","15.6","214","0","2","55","124","32","95","116","17780"
"Kendall Graveman","CHW","3.51","14.0%","4.2%","29.3%","","6.5","285","0","6","87","92","64","112","113","15514"
"Kyle Wright","ATL","3.89","16.4%","6.8%","29.7%","27.3","","738","30","0","83","120","86","91","97","19665"
"Keegan Akin","BAL","3.62","17.3%","6.5%","29.0%","1.0","3.4","329","1","2","84","139","102","87","93","19362"
"Logan Gilbert","SEA","4.11","16.3%","7.1%","25.1%","29.4","","766","32","0","96","128","86","94","102","22250"
"Trevor Williams","NYM","3.67","16.4%","7.7%","24.9%","-0.3","6.1","372","9","1","99","134","109","96","103","16977"
"Bailey Ober","MIN","4.71","17.6%","11.7%","27.3%","12.8","","227","11","0","106","167","60","84","97","21224"
"Johan Oviedo","- - -","3.17","12.8%","6.2%","27.7%","5.1","1.3","242","8","0","104","86","73","101","96","22487"
"Andrew Wantz","LAA","3.89","15.2%","10.9%","28.8%","0.3","-0.6","204","1","0","111","86","133","92","84","24933"
"Brady Singer","KCR","3.97","18.5%","8.2%","30.3%","26.4","0.0","621","24","0","83","155","98","91","105","25377"
"Dean Kremer","BAL","4.46","10.4%","7.3%","25.2%","15.7","0.9","512","21","0","112","92","73","100","104","19350"
"Joel Payamps","- - -","3.86","10.4%","7.7%","24.7%","","1.5","241","0","0","103","75","105","109","106","14332"
"Aaron Nola","PHI","2.74","25.5%","7.1%","32.4%","55.5","","807","32","0","70","297","76","75","99","16149"
"Jimmy Lambert","CHW","3.05","10.3%","4.5%","26.9%","0.5","2.6","204","2","0","117","68","71","109","97","19541"
"Albert Abreu","- - -","4.40","9.3%","5.5%","27.7%","","-1.6","172","0","0","109","62","108","118","101","17485"
"Brusdar Graterol","LAD","2.47","16.8%","4.3%","25.6%","0.4","7.4","197","1","4","78","154","49","77","89","20367"
"Connor Brogdon","PHI","3.17","20.7%","6.3%","30.3%","","5.3","188","0","2","87","167","111","98","108","21205"
"Gregory Soto","DET","4.08","9.9%","6.2%","26.0%","","5.2","263","0","30","117","64","28","110","102","19677"
"Miles Mikolas","STL","3.89","14.2%","6.9%","26.0%","26.0","0.3","805","32","0","95","144","101","81","85","9803"
"Tanner Rainey","WSN","3.97","18.0%","10.1%","28.4%","","2.4","128","0","12","100","102","136","102","97","17610"
"Andrew Bellatti","PHI","3.64","23.0%","12.7%","30.4%","0.3","9.1","230","1","2","85","114","75","104","119","10657"
"Jesus Luzardo","MIA","3.39","21.3%","6.6%","31.0%","20.1","","400","18","0","78","126","81","81","87","19959"
"Michael Wacha","BOS","4.56","14.2%","9.6%","24.7%","14.3","","515","23","0","101","121","118","89","91","14078"
"Domingo Acevedo","OAK","3.46","15.4%","7.4%","27.9%","","0.3","266","0","4","98","123","111","79","80","17092"
"Drew Smith","NYM","3.78","20.3%","11.8%","29.0%","","-0.6","187","0","0","93","130","160","90","90","17755"
"Andres Machado","WSN","5.31","7.7%","8.6%","26.1%","","-1.1","261","0","0","114","65","96","107","91","14681"
"Ralph Garza","TBR","5.63","0.7%","6.8%","25.9%","","-3.3","153","0","0","135","38","96","123","104","17682"
"Kevin Gausman","TOR","3.34","24.4%","8.1%","29.8%","50.0","","725","31","0","69","264","72","99","127","14107"
"Johnny Cueto","CHW","4.02","10.6%","7.3%","23.3%","22.9","-0.3","651","24","0","111","112","79","98","103","6893"
"Griffin Jax","MIN","3.17","20.0%","6.9%","32.0%","","8.2","290","0","1","84","141","81","84","94","20253"
"Merrill Kelly","ARI","3.62","14.4%","8.3%","26.7%","31.1","","804","33","0","97","106","86","89","92","11156"
"Blake Snell","SDP","3.19","22.4%","7.4%","29.0%","33.0","","535","24","0","81","123","70","94","105","13543"
"Kenley Jansen","ATL","2.34","24.2%","7.3%","29.9%","","10.3","260","0","41","87","142","102","82","89","3096"
"Eli Morgan","CLE","2.90","23.0%","8.9%","27.9%","-0.4","6.2","256","1","0","90","200","125","71","79","20203"
"Mychal Givens","- - -","3.70","17.7%","8.2%","28.6%","0.2","1.5","260","1","2","92","104","106","103","109","10430"
"Cal Quantrill","CLE","4.31","10.5%","7.5%","23.8%","20.8","","770","32","0","111","98","94","96","97","19312"
"George Kirby","SEA","3.31","20.5%","8.6%","25.9%","27.4","","542","25","0","84","218","84","96","115","25436"
"Michael Fulmer","- - -","3.78","12.0%","4.4%","27.5%","","6.2","276","0","3","113","79","53","109","108","13218"
"Luis Garcia","SDP","2.83","19.7%","4.1%","29.8%","","15.0","259","0","3","78","147","40","95","111","6984"
"Dany Jimenez","OAK","2.81","11.0%","4.3%","34.3%","","3.9","145","0","11","114","68","49","95","80","21170"
"Alex Lange","DET","3.29","18.8%","5.2%","34.4%","","6.9","271","0","0","82","96","66","98","99","19883"
"Chris Bassitt","NYM","3.46","15.8%","6.6%","29.2%","25.4","","745","30","0","93","125","85","90","97","12304"
"Corey Knebel","PHI","3.80","6.7%","5.7%","26.8%","","-0.3","194","0","12","121","54","73","107","83","15010"
"Matt Manning","DET","4.00","11.0%","6.2%","24.7%","9.7","","263","12","0","111","91","80","94","90","20369"
"Garrett Whitlock","BOS","3.17","21.5%","8.0%","30.4%","6.9","6.1","311","9","6","81","197","107","82","95","20191"
"Ryan Pepiot","LAD","4.31","9.4%","10.2%","27.5%","-1.3","0.2","160","7","0","133","57","135","114","84","26221"
"Matt Bush","- - -","2.64","23.0%","5.4%","33.7%","0.2","0.4","244","6","3","83","149","152","81","80","1246"
"Drew Smyly","CHC","4.17","14.5%","8.6%","27.5%","12.3","","447","22","0","105","128","123","93","94","11760"
"Nick Martinez","SDP","3.83","12.1%","8.1%","29.2%","0.0","4.3","448","10","8","101","85","115","101","95","12730"
"Carlos Estevez","COL","4.17","13.2%","7.6%","21.3%","","3.4","235","0","2","107","86","100","92","85","14542"
"Jordan Montgomery","- - -","4.00","16.9%","7.1%","28.6%","25.2","","724","32","0","87","159","98","87","95","16511"
"Bryan Baker","BAL","3.22","17.2%","4.8%","28.0%","1.4","11.3","291","2","1","90","106","36","99","109","19804"
"Caleb Thielbar","MIN","2.53","25.3%","6.8%","30.1%","","15.1","245","0","1","78","161","70","93","113","10078"
"Taijuan Walker","NYM","3.94","13.4%","7.3%","26.6%","24.0","","649","29","0","97","108","78","93","97","11836"
"Joe Jimenez","DET","2.90","27.7%","7.8%","30.5%","","13.3","231","0","2","68","214","59","87","115","15761"
"Gerrit Cole","NYY","3.31","26.1%","9.5%","31.9%","30.5","","793","33","0","70","186","137","81","94","13125"
