"Name","Team","PA","HR","SB","BABIP+","K%+","BB%+","ISO+","wRC+","Barrels","OPS","Barrel%","Off","EV","playerid"
"Alex Vesia","LAD","0","0","0","","","","","","",".000","","0.0","","25007"
"Garrett Hill","DET","0","0","0","","","","","","",".000","","0.0","","25097"
"Penn Murfee","SEA","0","0","0","","","","","","",".000","","0.0","","25174"
"Nick Mears","PIT","0","0","0","","","","","","",".000","","0.0","","25376"
"Brady Singer","KCR","0","0","0","","","","","","",".000","","0.0","","25377"
"Drew Rasmussen","TBR","0","0","0","","","","","","",".000","","0.0","","25385"
"Cody Morris","CLE","0","0","0","","","","","","",".000","","0.0","","25388"
"Nash Walters","LAA","0","0","0","","","","","","",".000","","0.0","","25413"
"Gavin Hollowell","COL","0","0","0","","","","","","",".000","","0.0","","25427"
"George Kirby","SEA","0","0","0","","","","","","",".000","","0.0","","25436"
"Cole Waites","SFG","0","0","0","","","","","","",".000","","0.0","","25665"
"Matt Brash","SEA","0","0","0","","","","","","",".000","","0.0","","25756"
"Noah Davis","COL","0","0","0","","","","","","",".000","","0.0","","25862"
"Hunter Brown","HOU","0","0","0","","","","","","",".000","","0.0","","25880"
"Yennier Cano","BAL","0","0","0","","","","","","",".000","","0.0","","25911"
"Zack Thompson","STL","0","0","0","","","","","","",".000","","0.0","","25918"
"Andrew Nardi","MIA","0","0","0","","","","","","",".000","","0.0","","25942"
"Andre Pallante","STL","0","0","0","","","","","","",".000","","0.0","","26108"
"Drey Jameson","ARI","0","0","0","","","","","","",".000","","0.0","","26260"
"Tommy Henry","ARI","0","0","0","","","","","","",".000","","0.0","","26285"
"Bryan Hoeing","MIA","0","0","0","","","","","","",".000","","0.0","","26304"
"Nick Lodolo","CIN","0","0","0","","","","","","",".000","","0.0","","26378"
"Alek Manoah","TOR","0","0","0","","","","","","",".000","","0.0","","26410"
"Reid Detmers","LAA","0","0","0","","","","","","",".000","","0.0","","27468"
"Jared Koenig","OAK","0","0","0","","","","","","",".000","","0.0","","27517"
"Graham Ashcraft","CIN","0","0","0","","","","","","",".000","","0.0","","27552"
"Hayden Wesneski","CHC","0","0","0","","","","","","",".000","","0.0","","27581"
"Luis Ortiz","PIT","0","0","0","","","","","","",".000","","0.0","","27646"
"Ken Waldichuk","OAK","0","0","0","","","","","","",".000","","0.0","","27681"
"Louie Varland","MIN","0","0","0","","","","","","",".000","","0.0","","27691"
"Bryce Elder","ATL","0","0","0","","","","","","",".000","","0.0","","27779"
"Robert Suarez","SDP","0","0","0","","","","","","",".000","","0.0","","30115"
