"Name","Team","PA","HR","SB","BABIP+","K%+","BB%+","ISO+","wRC+","Barrels","OPS","Barrel%","Off","EV","playerid"
"Oscar Gonzalez","CLE","56","2","0","126","88","45","99","129","3",".802","7.0%","1.7","89.0","20970"
"Luis Torrens","SEA","24","1","0","99","94","209","106","134","1",".796","6.7%","0.7","94.9","15905"
"CJ Abrams","WSN","44","0","4","141","50","0","44","123","0",".795","0.0%","2.4","85.7","25768"
"Steven Kwan","CLE","55","1","2","115","57","69","107","128","1",".812","2.3%","2.4","87.8","24610"
"Seth Brown","OAK","55","2","2","107","123","206","131","133","5",".798","16.1%","2.1","86.4","18171"
"Nolan Arenado","STL","34","1","0","89","26","141","108","127","2",".786","7.1%","1.0","87.8","9777"
"Charlie Culberson","TEX","6","1","0","0","150","0","335","127","0",".833","0.0%","0.2","85.6","3298"
"Caleb Hamilton","MIN","14","1","0","0","257","359","201","128","1",".757","50.0%","0.5","102.2","19842"
"Seiya Suzuki","CHC","29","1","0","101","107","165","129","123","2",".785","11.1%","0.7","90.7","30116"
"Jeimer Candelario","DET","32","0","0","144","84","79","48","126","1",".804","4.2%","0.8","85.3","13621"
"Jesus Aguilar","BAL","14","0","0","157","96","0","48","125","0",".786","0.0%","0.3","83.5","11342"
"Alex Verdugo","BOS","51","2","0","112","106","74","142","119","3",".803","8.3%","1.1","88.2","17027"
"Juan Soto","SDP","53","2","0","91","75","181","129","124","4",".803","11.1%","1.6","92.8","20123"
"Christian Vazquez","HOU","24","1","0","129","131","0","140","123","1",".792","5.9%","0.3","87.9","9774"
"Dylan Moore","SEA","38","0","5","135","95","165","22","127","1",".744","4.3%","1.6","87.1","18042"
"Alex Call","WSN","38","1","1","120","128","157","81","116","0",".743","0.0%","0.3","80.5","19296"
"Josh Palacios","WSN","9","0","0","172","147","0","72","116","0",".778","0.0%","0.3","87.7","19818"
"Francisco Alvarez","NYM","14","1","0","49","126","171","215","123","3",".786","37.5%","0.2","89.1","26121"
"Riley Greene","DET","54","0","0","140","117","163","46","122","4",".753","12.5%","1.5","93.4","25976"
"Ben Gamel","PIT","27","1","0","92","98","222","117","117","1",".779","6.3%","0.6","93.0","12160"
"Mark Canha","NYM","48","1","0","118","92","25","79","123","2",".769","6.1%","1.2","82.9","11445"
"Austin Riley","ATL","53","1","0","107","108","158","75","114","3",".726","10.0%","0.7","90.2","18360"
"Ha-seong Kim","SDP","52","1","2","108","77","115","86","120","1",".753","2.7%","1.6","87.7","27506"
"Josh Harrison","CHW","38","1","1","111","47","0","77","119","2",".771","6.3%","0.9","90.7","8202"
"Pavin Smith","ARI","36","0","0","118","49","100","60","114","0",".767","0.0%","0.6","82.7","19892"
"Kyle Stowers","BAL","36","1","0","120","125","35","138","119","4",".776","16.7%","0.4","92.1","26151"
"Aaron Hicks","NYY","33","1","0","123","164","228","99","119","3",".734","20.0%","0.8","87.2","5297"
"Kevin Newman","PIT","36","1","1","89","12","100","98","114","0",".758","0.0%","1.0","86.0","17696"
"Calvin Mitchell","PIT","33","0","1","119","80","145","67","114","1",".743","4.3%","0.5","88.0","22169"
"Rhys Hoskins","PHI","58","2","0","122","152","103","136","112","2",".772","6.1%","0.5","89.0","16472"
"Geraldo Perdomo","ARI","37","1","1","106","60","129","62","112","1",".748","3.6%","1.0","84.9","22799"
"Christian Walker","ARI","53","1","1","124","108","68","105","111","2",".770","5.4%","0.9","91.5","13419"
"Josh Naylor","CLE","38","1","1","101","107","132","138","116","3",".757","12.0%","0.5","92.8","18839"
"Raimel Tapia","TOR","46","1","0","129","108","55","91","116","1",".758","3.0%","0.6","87.5","14350"
