Name,Team,PA,HR,SB,BABIP+,K%+,BB%+,ISO+,wRC+,Barrels,OPS,Barrel%,Off,EV,NameASCII,PlayerId,MLBAMID
"Manny Machado","SDP",32,0,0,137.4605459945017,84.32919619432269,35.960694397491544,112.74872125128263,139.37697298425985,0,0.827620967,0,1.4360675493804387,92.82543055216472,"Manny Machado",11493,592518
"Bryan De La Cruz","MIA",25,0,0,101.07393085809528,71.96091408582203,138.08906648636753,0,75.07237573215048,0,0.598095238,0,-1.2584560995371845,92.78242015838623,"Bryan De La Cruz",19600,650559
"Christian Bethancourt","MIA",10,1,0,114.55045488086762,89.95114260727753,0,233.01402452515387,181.53580899281096,0,0.999999999,0,0.9303037720917426,92.77574702671596,"Christian Bethancourt",10028,542194
"Colt Keith","DET",23,1,0,211.42172569590883,97.57477987089352,52.92864257926689,155.8226065105632,253.227437680819,1,1.236024844,0.0625,4.005235910044068,92.7070484161377,"Colt Keith",27899,690993
"David Hamilton","BOS",19,1,1,128.13437898540653,118.11683864934142,128.1430308760805,153.98939901326972,149.2810187434941,1,0.897832816,0.08333333,1.3775160063991865,92.67818641662598,"David Hamilton",27531,666152
"Jose Miranda","MIN",20,2,0,103.63810081060024,22.442199406213028,0,229.05923166215157,197.62907251384866,2,1.05,0.10526316,2.267685939553867,92.66779367547286,"Jose Miranda",20538,669304
"Alex Kirilloff","MIN",14,2,0,100.67701198445454,128.2411391434716,86.95419974044013,302.05612996643185,214.39632233948922,2,1.126373626,0.22222222,1.849533496071453,92.65979766845703,"Alex Kirilloff",20325,666135
"Bryan Reynolds","PIT",29,2,1,114.55045488086762,77.54408840802314,39.68076551746101,149.79473000195304,148.56218965241823,3,0.880541871,0.13043478,1.7840937819746507,92.61929984714673,"Bryan Reynolds",19326,668804
"Zack Gelof","OAK",27,0,0,110.11548213328584,132.9908111630864,135.26208916143955,0,58.53579168998294,0,0.504629629,0,-1.3073177959176512,92.6096430460612,"Zack Gelof",29766,680869
"Dominic Canzone","SEA",15,1,0,50.33850581604249,179.53759524970422,81.15725276644844,151.02806498321593,60.07069797088683,1,0.584615384,0.125,-0.6241731790370301,92.51603746414185,"Dominic Canzone",26438,686527
"DJ Stewart","NYM",11,0,0,147.27915622630817,81.773765638634,0,77.67134150838463,172.7247323666282,0,0.898989898,0,0.8636378344084207,92.51410021100726,"DJ Stewart",17766,621466
"Alec Bohm","PHI",28,1,0,71.59403425758585,48.188112046790714,0,161.3174019169721,75.54233993581958,2,0.675824175,0.08,-0.8214969503166342,92.47377197265625,"Alec Bohm",21618,664761
"Marcell Ozuna","ATL",35,3,0,78.10258285769831,64.25081576255049,131.51339632489987,289.25878974064545,186.67759401729228,3,1.061083743,0.12,3.237418274503224,92.43616333007813,"Marcell Ozuna",10324,542303
"Harold Ramírez","TBR",2,0,0,176.18477141325735,0,0,0,197.36379985648588,0,1,0,0.22548678314596815,92.39999389648438,"Harold Ramirez",14387,623912
"Tyler O'Neill","BOS",20,1,0,50.33850581604249,224.4219940621303,121.73588036703147,109.07582416472125,31.659573046569484,2,0.477777777,0.25,-1.6706040154422863,92.38975429534912,"Tyler O'Neill",15711,641933
"Tomás Nido","NYM",9,1,0,68.73027299725085,149.91857086221066,0,262.1407778529389,119.1891195723514,1,0.847222222,0.16666667,0.1989024197113123,92.31671524047852,"Tomas Nido",13755,621512
"Alex Verdugo","NYY",29,1,0,121.97407246265976,30.95475769333149,0,116.86695455569496,146.61015295551238,2,0.880541871,0.07407407,1.4775972626649552,92.31023717809606,"Alex Verdugo",17027,657077
"Fernando Tatis Jr.","SDP",35,1,0,74.70681835574176,128.50163197485668,32.87834850585386,102.80030467028709,50.07072277200233,2,0.523529411,0.08333333,-1.9784467863173543,92.30677731831868,"Fernando Tatis Jr.",19709,665487
"Enrique Hernández","LAD",17,1,0,42.95642062328178,185.19352850049282,67.6907183920314,131.07038892646946,38.68718611692629,1,0.488970588,0.11111111,-1.2233280631628338,92.29619407653809,"Enrique Hernandez",10472,571771
"Ozzie Albies","ATL",35,0,1,76.36696992057841,64.25081576255049,65.75669816244994,22.549743970639696,40.25977747906528,1,0.482949308,0.03703704,-2.312802467353121,92.2522402162905,"Ozzie Albies",16556,645277
"Luis Rengifo","LAA",26,2,2,148.36612309137118,51.78969076478237,93.6429837740007,272.6895617207131,259.15044258749913,1,1.294871794,0.04761905,4.383454338709193,92.24662635439918,"Luis Rengifo",19858,650859
"Pavin Smith","ARI",4,0,0,0,0,0,0,-100,0,0,0,-0.9728735614318847,92.17237091064453,"Pavin Smith",19892,656976
"Victor Caratini","HOU",9,0,0,50.33850581604249,49.87155418615738,0,81.80686845076842,41.06402275833585,1,0.472222222,0.14285714,-0.6271274307133065,92.15804290771484,"Victor Caratini",14968,605170
"Maikel Garcia","KCR",30,0,3,162.6320964994232,14.961466121194025,81.15725276644844,145.43443265593166,221.0274292300682,1,1.149425286,0.03703704,4.931206629577545,92.12973257211539,"Maikel Garcia",22715,672580
"Ian Happ","CHC",17,0,1,124.96413250358704,132.28109204306955,67.6907183920314,131.07038892646946,106.4891429270233,2,0.731617647,0.18181818,0.36303599786413904,92.08907110040838,"Ian Happ",17919,664023
"Francisco Lindor","NYM",29,0,0,140.5846492813175,77.54408840802314,39.68076551746101,103.56178867784618,151.21996544645074,3,0.860791825,0.13636364,1.89912168979505,92.07244734330611,"Francisco Lindor",12916,596019
"Rowdy Tellez","PIT",8,0,0,0,168.65839238864538,0,0,-100,0,0,0,-2.0013911162936093,92.07065124511719,"Rowdy Tellez",15679,642133
"Luis Campusano","SDP",24,1,0,36.173827585812376,37.47964260311373,95.8951846763967,95.3239189650534,43.62925360604902,1,0.481060605,0.05,-1.643280107375518,92.04224472045898,"Luis Campusano",22217,669134
"Danny Jansen","TOR",20,1,0,128.13437898540653,112.21099703106515,182.6038205505472,192.48674925742836,180.11906972200794,2,0.988235294,0.16666667,1.858722373123789,92.01100644198331,"Danny Jansen",16535,643376
"Pete Alonso","NYM",29,2,0,90.434569480008,93.05290581977435,79.36153218566425,207.12357735569236,146.95461532277596,3,0.865900382,0.14285714,1.3956397625584616,91.97646586100261,"Pete Alonso",19251,624413
"Jared Triolo","PIT",25,1,1,80.85914448028541,89.95114260727753,46.029688828789176,127.09855908609924,90.74515410999555,1,0.689090909,0.05555556,-0.2212033964783086,91.9446529812283,"Jared Triolo",25807,669707
"Kerry Carpenter","DET",22,3,0,117.45651415804839,81.60799747353865,166.00347278509426,436.3032986222499,292.3704313467003,4,1.510101009,0.26666667,4.3307942074156776,91.93520660400391,"Kerry Carpenter",25961,681481
"Jackson Chourio","MIL",20,0,1,49.09305184633514,112.43892825909691,57.53711103598646,36.7916881565024,-13.825727933153349,0,0.307894736,0,-2.3305602126766956,91.91822345440204,"Jackson Chourio",28806,694192
"Ryan Mountcastle","BAL",23,0,0,129.8203576609036,58.544867742998505,52.92864257926689,59.49590438732748,119.31281888171931,0,0.756916995,0,0.4596805682222058,91.88515191329152,"Ryan Mountcastle",18373,663624
"Taylor Ward","LAA",26,1,0,108.42139754882561,138.10584218903432,187.2859687653602,93.49356338277397,108.11523511701331,0,0.727106226,0,0.057011377519255224,91.85507311139789,"Taylor Ward",17548,621493
"Connor Joe","PIT",29,0,0,95.45871222889733,124.07054109303246,79.36153218566425,53.772467305657365,59.872198540054264,0,0.545092837,0,-1.4259091727636484,91.83814069959853,"Connor Joe",16572,656582
"Andrés Giménez","CLE",25,2,0,54.210698598228035,125.67631667479296,48.694352146812584,178.48771316198244,112.07293547188446,2,0.734545454,0.13333333,0.3150825781950693,91.82205403645834,"Andres Gimenez",19950,665926
"Vinnie Pasquantino","KCR",25,0,0,74.18306136950082,35.907519049940845,97.38870429362517,103.33499183062142,89.62545902647376,2,0.688421052,0.10526316,-0.46068976319189203,91.81818630820827,"Vinnie Pasquantino",27676,686469
"Miguel Andujar","OAK",4,0,0,264.277157119886,0,0,0,349.54380867733653,0,1.5,0,1.1276253027895065,91.7874755859375,"Miguel Andujar",15878,609280
"Austin Hays","BAL",18,0,0,117.45651415804839,49.87155418615738,67.63104397204036,38.497349589703695,100.69809152710192,0,0.686274509,0,-0.4254500196996835,91.75200042724609,"Austin Hays",19363,669720
"Adam Frazier","KCR",11,0,1,176.18477141325735,81.60799747353865,110.66898104515694,65.44549476061474,172.5182739764789,1,0.954545454,0.125,1.0882479083971976,91.71451663970947,"Adam Frazier",15223,624428
"Orlando Arcia","ATL",31,1,0,103.09540949587625,130.57423897846368,37.12071620347916,116.50701261209797,83.0037527997877,1,0.658064516,0.04761905,-0.6307010877825487,91.69679696219308,"Orlando Arcia",13185,606115
"Jarred Kelenic","ATL",20,1,0,68.73027299725085,67.46335695545814,57.53711103598646,147.1667526260096,86.4292216755735,1,0.671052631,0.0625,-0.2713700577594869,91.56221771240234,"Jarred Kelenic",22558,672284
"Jack Suwinski","PIT",10,1,1,85.91284124656356,89.95114260727753,345.2226662159188,299.5894607029482,232.42883868098707,0,1.214285714,0,1.7179214058726373,91.52318725585937,"Jack Suwinski",22244,669261
"Brett Baty","NYM",14,1,0,68.73027299725085,160.62704030588765,246.5876183968728,190.64783862914885,139.97304175322944,0,0.811688311,0,0.6616693283031526,91.49645233154297,"Brett Baty",26123,683146
