"Name","Team","PA","HR","SB","Off","wRC+","wOBA","ISO+","Barrel%","BsR","Spd","SwStr%","TTO%","BB%+","K%+","Oppo%+","EV","maxEV","xwOBA","HardHit%","playerid"
"Juan Yepez","STL","274","12","0","1.2","109",".319","125","9.2%","-1.7","0.9","12.8%","32.5%","70","98","85","86.5","114.4",".286","33.7%","18400"
"Alex Verdugo","BOS","644","11","1","0.8","103",".319","84","6.0%","-1.1","2.2","6.3%","21.6%","82","60","103","89.1","111.0",".329","37.8%","17027"
"Mitch Haniger","SEA","247","11","0","2.7","113",".319","123","11.8%","-0.9","1.5","12.4%","38.9%","102","118","88","91.9","111.0",".328","47.2%","14274"
"Donovan Solano","CIN","304","4","0","-2.6","98",".319","65","5.9%","-2.0","0.7","9.3%","27.6%","75","89","106","88.3","107.3",".315","39.7%","8623"
"Christian Arroyo","BOS","300","6","5","-2.4","102",".319","86","6.4%","-3.2","4.5","10.4%","22.7%","54","74","100","88.9","112.2",".330","42.1%","16434"
"Jake Cronenworth","SDP","684","17","3","13.7","109",".318","98","5.6%","6.8","4.3","6.6%","31.9%","122","85","121","87.6","108.6",".303","33.8%","18036"
"Max Muncy","LAD","565","21","2","6.3","106",".318","121","13.4%","2.1","3.0","9.6%","44.6%","191","110","79","90.3","111.2",".339","44.7%","13301"
"Tommy Edman","STL","630","13","32","14.2","108",".318","87","6.2%","8.4","7.2","8.8%","27.0%","87","78","96","88.6","112.8",".308","37.6%","19470"
"Thairo Estrada","SFG","541","14","21","6.2","106",".317","90","4.4%","2.4","5.8","9.1%","25.1%","73","73","88","86.2","109.3",".299","30.6%","16426"
"Marcus Semien","TEX","724","26","25","12.6","107",".317","121","6.8%","7.0","6.2","9.0%","27.5%","92","75","91","87.3","110.1",".306","34.9%","12533"
"Ketel Marte","ARI","558","12","5","0.6","102",".317","108","6.1%","-0.9","4.2","8.7%","30.1%","118","80","85","90.1","115.0",".315","41.9%","13613"
"Charlie Blackmon","COL","577","16","4","-5.9","89",".317","100","4.4%","1.4","4.5","9.6%","27.2%","66","84","91","86.2","109.5",".301","30.6%","7859"
