"Name","Team","PA","HR","SB","Off","wRC+","wOBA","ISO+","Barrel%","BsR","Spd","BB%+","K%+","Oppo%+","EV","maxEV","xwOBA","playerid"
"Gavin Lux","LAD","471","6","7","10.5","113",".328","80","6.1%","3.2","6.2","119","89","86","88.0","108.1",".314","19955"
"Christian Yelich","MIL","671","14","19","11.9","111",".328","84","8.2%","3.4","6.0","157","107","123","91.5","117.2",".339","11477"
"Harold Ramirez","TBR","435","6","3","7.1","119",".327","70","4.8%","-2.3","2.2","55","74","76","88.5","113.7",".314","14387"
"Rowdy Tellez","MIL","599","35","2","0.7","110",".327","156","12.9%","-6.6","1.8","124","89","77","91.1","116.9",".349","15679"
"Giancarlo Stanton","NYY","452","31","0","4.8","115",".327","168","19.2%","-2.6","0.9","139","136","105","95.0","119.8",".351","4949"
"Luis Urias","MIL","472","16","1","5.9","110",".327","106","8.3%","0.2","2.3","127","93","90","87.3","109.7",".326","16622"
"Lourdes Gurriel Jr.","TOR","493","5","3","3.8","114",".327","72","3.8%","-4.1","2.7","79","76","112","90.6","109.5",".321","19238"
"Andrew Vaughn","CHW","555","17","0","4.9","113",".327","106","7.9%","-3.2","1.8","70","78","111","90.8","112.1",".319","26197"
"Chas McCormick","HOU","407","14","4","5.2","114",".326","108","10.2%","-1.1","3.8","142","117","121","88.1","109.9",".325","19599"
"Josh Rojas","ARI","510","9","23","11.3","108",".326","79","4.5%","6.2","5.6","129","85","129","88.8","109.1",".308","19734"
"Ryan McMahon","COL","597","20","7","-1.3","95",".326","109","10.4%","2.1","4.2","120","117","118","91.7","113.7",".330","15112"
"Willy Adames","MIL","617","31","8","8.8","109",".325","142","13.0%","2.4","3.6","95","119","101","88.9","110.6",".323","15986"
"Adolis Garcia","TEX","657","27","25","14.8","112",".324","138","12.9%","6.0","6.6","76","125","87","92.1","113.0",".322","19287"
"Luis Robert","CHW","401","12","11","9.5","111",".324","95","8.9%","4.4","4.6","53","86","113","89.3","117.8",".327","20043"
"Salvador Perez","KCR","473","23","0","1.4","109",".324","141","11.2%","-3.2","1.5","48","104","88","91.4","112.5",".326","7304"
"Wander Franco","TBR","344","6","8","10.3","116",".323","94","4.6%","4.0","6.4","95","43","110","87.3","112.4",".331","23667"
"Seby Zavala","CHW","205","2","0","1.8","111",".323","75","9.2%","-0.7","1.4","116","141","115","88.8","105.8",".283","18887"
"Seth Brown","OAK","555","25","11","12.8","117",".323","143","13.0%","2.4","4.7","115","118","94","89.2","112.9",".338","18171"
"T.J. Friedl","CIN","258","8","7","1.3","101",".323","126","4.7%","0.9","7.2","93","69","96","87.2","107.2",".283","19522"
"Yonathan Daza","COL","408","2","0","-3.2","93",".323","54","1.9%","-0.1","3.4","76","63","112","84.8","106.0",".308","15794"
"Isaac Paredes","TBR","381","20","0","6.2","116",".323","154","6.4%","-0.7","1.7","145","79","82","87.4","110.4",".297","20036"
"Tim Anderson","CHW","351","6","13","6.9","110",".323","63","5.8%","2.8","5.6","50","71","122","88.2","108.7",".340","15172"
"Daulton Varsho","ARI","592","27","16","7.7","106",".323","134","10.2%","3.4","5.7","93","108","65","87.7","110.3",".298","19918"
"Christopher Morel","CHC","425","16","10","6.0","108",".322","128","13.4%","1.9","5.9","107","143","69","89.6","112.9",".324","21897"
"Eric Haase","DET","351","14","0","3.1","112",".322","126","8.7%","-1.5","2.1","86","124","102","87.7","109.9",".302","14111"
"Ji-Man Choi","TBR","419","11","0","4.6","116",".322","103","11.9%","-2.7","0.7","174","132","97","92.2","111.1",".337","5452"
"Nick Gordon","MIN","443","9","6","4.9","111",".321","104","9.4%","-0.6","4.9","54","107","106","90.6","110.7",".333","16337"
"Brendan Rodgers","COL","581","13","0","-7.1","92",".321","92","7.2%","-1.7","2.6","95","77","127","90.0","112.2",".326","17907"
"Orlando Arcia","ATL","234","9","0","1.0","104",".321","111","7.5%","-0.1","1.1","107","96","86","90.7","107.9",".329","13185"
"Oneil Cruz","PIT","361","17","10","4.5","106",".320","140","15.5%","2.0","6.4","93","154","89","91.9","122.4",".304","21711"
"Jurickson Profar","SDP","658","15","5","6.3","110",".320","95","4.0%","-1.4","4.0","133","69","100","87.5","109.4",".315","10815"
"Sam Haggerty","SEA","201","5","13","5.3","114",".320","99","4.0%","2.2","7.4","112","119","102","86.0","109.0",".285","18054"
"Jean Segura","PHI","387","10","13","0.4","105",".320","71","4.4%","-1.6","4.0","77","66","122","87.6","111.0",".303","5933"
"Nico Hoerner","CHC","517","10","20","6.0","106",".320","83","2.6%","2.3","6.4","65","49","121","87.2","109.7",".301","21479"
"Juan Yepez","STL","274","12","0","1.2","109",".319","125","9.2%","-1.7","0.9","70","98","85","86.5","114.4",".286","18400"
"Alex Verdugo","BOS","644","11","1","0.8","103",".319","84","6.0%","-1.1","2.2","82","60","103","89.1","111.0",".329","17027"
"Mitch Haniger","SEA","247","11","0","2.7","113",".319","123","11.8%","-0.9","1.5","102","118","88","91.9","111.0",".328","14274"
"Donovan Solano","CIN","304","4","0","-2.6","98",".319","65","5.9%","-2.0","0.7","75","89","106","88.3","107.3",".315","8623"
"Christian Arroyo","BOS","300","6","5","-2.4","102",".319","86","6.4%","-3.2","4.5","54","74","100","88.9","112.2",".330","16434"
"Jake Cronenworth","SDP","684","17","3","13.7","109",".318","98","5.6%","6.8","4.3","122","85","121","87.6","108.6",".303","18036"
"Max Muncy","LAD","565","21","2","6.3","106",".318","121","13.4%","2.1","3.0","191","110","79","90.3","111.2",".339","13301"
"Tommy Edman","STL","630","13","32","14.2","108",".318","87","6.2%","8.4","7.2","87","78","96","88.6","112.8",".308","19470"
"Thairo Estrada","SFG","541","14","21","6.2","106",".317","90","4.4%","2.4","5.8","73","73","88","86.2","109.3",".299","16426"
"Marcus Semien","TEX","724","26","25","12.6","107",".317","121","6.8%","7.0","6.2","92","75","91","87.3","110.1",".306","12533"
"Ketel Marte","ARI","558","12","5","0.6","102",".317","108","6.1%","-0.9","4.2","118","80","85","90.1","115.0",".315","13613"
"Charlie Blackmon","COL","577","16","4","-5.9","89",".317","100","4.4%","1.4","4.5","66","84","91","86.2","109.5",".301","7859"
"Patrick Wisdom","CHC","534","25","8","3.1","104",".316","142","14.2%","0.6","3.7","119","152","79","90.7","112.6",".295","13602"
"Trevor Story","BOS","396","16","13","3.1","100",".316","131","11.3%","2.9","5.4","102","139","101","88.9","113.4",".301","12564"
"Ryan Mountcastle","BAL","609","22","4","5.1","106",".316","116","15.0%","0.7","3.0","89","114","119","91.3","112.0",".362","18373"
"Nolan Gorman","STL","313","14","1","2.4","107",".316","125","14.4%","-0.1","3.0","107","146","93","89.2","110.6",".341","22263"
"Rodolfo Castro","PIT","278","11","5","1.1","103",".315","125","6.7%","0.3","5.3","95","118","102","87.3","111.6",".280","21987"
"Cedric Mullins II","BAL","672","16","34","7.6","106",".315","97","4.9%","3.3","6.6","88","84","95","88.8","109.4",".288","17929"
"Yadiel Hernandez","WSN","327","9","2","-4.7","101",".315","91","8.6%","-5.2","2.2","70","100","105","88.8","108.0",".310","19334"
"Austin Barnes","LAD","212","8","2","-1.1","104",".315","108","4.8%","-2.1","3.6","152","77","121","87.4","107.8",".298","12158"
"David Peralta","- - -","490","12","1","2.4","104",".315","107","8.5%","0.1","2.5","102","104","88","90.3","113.0",".313","2136"
"Randal Grichuk","COL","538","19","4","-8.9","88",".315","107","6.8%","-1.2","4.4","53","104","108","90.0","111.6",".281","10243"
"Tyrone Taylor","MIL","405","17","3","2.1","102",".314","135","9.9%","1.2","4.6","65","111","86","88.0","109.3",".307","13675"
"Austin Hays","BAL","582","16","2","3.8","105",".314","109","5.2%","0.6","3.0","73","88","93","87.7","109.0",".298","19363"
"Jonathan India","CIN","431","10","3","-3.5","95",".314","84","4.8%","-1.0","3.5","86","96","85","85.1","111.3",".301","21523"
"Connor Joe","COL","467","7","6","-7.4","87",".314","78","4.5%","-0.3","5.3","141","92","104","85.3","110.1",".311","16572"
"Luis Rengifo","LAA","511","17","6","2.9","103",".314","111","5.4%","1.4","4.0","42","70","69","86.9","109.3",".296","19858"
"Bryan De La Cruz","MIA","355","13","4","0.4","104",".313","116","11.9%","-1.2","3.5","64","112","94","90.8","111.2",".355","19600"
"Ramon Urias","BAL","445","16","1","2.2","104",".313","111","9.6%","0.0","2.7","85","99","100","89.4","110.0",".320","18795"
"Eric Hosmer","- - -","419","8","0","-3.0","104",".313","73","5.7%","-5.1","0.9","106","68","106","88.4","112.9",".311","3516"
"Ha-seong Kim","SDP","582","11","12","5.4","105",".313","85","4.2%","1.9","4.8","105","76","71","86.7","109.4",".309","27506"
"Jesse Winker","SEA","547","14","0","1.0","109",".313","84","7.6%","-4.3","0.9","193","85","104","87.7","110.0",".345","13590"
"Wilmer Flores","SFG","602","19","0","0.5","103",".312","107","6.3%","-1.4","2.1","117","76","90","87.8","108.3",".310","5827"
"Trey Mancini","- - -","587","18","0","-0.4","104",".312","102","9.5%","-3.0","1.5","113","104","92","89.5","111.8",".327","15149"
