Name,Team,xERA,K-BB%,Barrel%,CSW%,Starting,Relieving,TBF,GS,SV,xFIP-,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Nathan Eovaldi","TEX",3.42,0.14880952,0.05882353,0.30134933,6.538193225860596,,168,7,0,92.39927804900083,97.66771771771771,102.72792792792794,100.92762762762763,"Nathan Eovaldi",9132,543135
"Jesús Luzardo","MIA",3.55,0.17582418,0.10655738,0.29905277,7.580569267272949,,182,8,0,94.55243822774271,98.26730083234246,99.64601664684899,100.86397146254457,"Jesus Luzardo",19959,666200
"Mitch Spence","OAK",3.33,0.13970588,0.06382979,0.27821012,0.6045519709587097,1.4524509906768799,136,2,0,87.89475150821264,101.33268482490274,101.35622568093385,100.61984435797666,"Mitch Spence",27707,687765
"Miles Mikolas","STL",4.8,0.12698413,0.078125,0.27410618,4.76889705657959,,252,11,0,100.9502565927714,88.90749999999996,107.14315217391304,100.4932608695652,"Miles Mikolas",9803,571945
"Erick Fedde","CHW",3.4,0.15267176,0.07065217,0.24521073,10.728009223937988,,262,11,0,95.12676059263296,97.35228377065108,103.74305150631682,100.42711370262391,"Erick Fedde",17425,607200
"Hunter Brown","HOU",4.4,0.0990099,0.04511278,0.26603325,-3.4844236373901367,0.3033505380153656,202,9,0,105.44059945373931,104.02393041363898,99.40359316364248,100.34063742990064,"Hunter Brown",25880,686613
"Seth Lugo","KCR",3.73,0.16197183,0.09223301,0.29439696,15.062894821166992,,284,11,0,94.93648950667045,98.91756885090216,100.75916429249766,100.3131054131054,"Seth Lugo",12447,607625
"José Berríos","TOR",4.49,0.13207547,0.07936508,0.28828829,4.7604146003723145,,265,11,0,100.51873402632606,92.36996662958842,102.90111234705229,100.25795328142381,"Jose Berrios",14168,621244
"Zack Littell","TBR",3.26,0.19742489,0.06586826,0.27539503,12.607624053955078,,233,10,0,88.19037058021807,83.32545248868779,105.48823529411764,99.95169683257917,"Zack Littell",15823,641793
"Max Fried","ATL",3.16,0.11914894,0.04848485,0.26543879,9.178829193115234,,235,10,0,85.30956269248078,97.99501084598701,99.07711496746207,99.74251626898048,"Max Fried",13743,608331
