"Name","Team","Barrel%","CSW%","Starting","Relieving","SO","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Logan Gilbert","SEA","7.6%","24.6%","6.6","","32","120","5","0","79","165","56","80","95","22250"
"Emmanuel Clase","CLE","5.0%","29.8%","","3.7","18","62","0","11","58","217","56","80","98","21032"
"Matt Manning","DET","7.3%","23.0%","3.2","","13","74","3","0","110","78","45","68","58","20369"
"Lance McCullers Jr.","HOU","6.3%","29.3%","4.7","","30","101","4","0","72","135","96","80","87","14120"
"Mark Melancon","ARI","16.2%","24.0%","","-1.4","4","44","0","1","124","49","148","85","69","4264"
"Max Fried","ATL","8.2%","27.9%","1.6","","21","87","4","0","91","192","148","78","84","13743"
"Brady Singer","KCR","8.7%","30.3%","6.2","","25","101","4","0","75","181","65","81","99","25377"
"Ryan Brasier","BOS","8.0%","31.8%","","1.9","12","39","0","0","75","217","76","51","58","5615"
"Austin Pruitt","OAK","6.5%","30.2%","1.5","-0.4","8","55","1","0","100","289","114","54","55","15290"
"Miguel Diaz","DET","0.0%","28.6%","","0.4","3","14","0","0","120","54","0","65","39","18815"
"Trevor May","NYM","5.9%","30.8%","","1.7","11","31","0","0","64","134","0","96","121","6398"
"Nick Sandlin","CLE","0.0%","28.2%","","1.3","7","29","0","0","98","126","0","76","97","20517"
"Peter Strzelecki","MIL","10.5%","30.7%","","0.5","15","58","0","1","98","110","111","75","67","21367"
"Jovani Moran","MIN","6.1%","35.2%","","3.5","18","54","0","0","59","217","0","67","95","20422"
"Ryan Pressly","HOU","12.5%","34.5%","","1.4","19","39","0","8","34","172","157","60","50","7005"
"Max Scherzer","NYM","9.1%","31.2%","3.2","","20","65","3","0","64","733","139","62","84","3137"
"Joe Musgrove","SDP","8.0%","30.3%","3.0","","35","136","6","0","98","117","155","101","100","12970"
"Dylan Cease","CHW","5.4%","24.0%","5.3","","30","119","5","0","108","77","60","103","97","18525"
"Jake Woodford","STL","0.0%","24.0%","","1.7","7","55","0","0","85","128","0","101","119","18674"
"Corbin Burnes","MIL","4.4%","31.0%","10.0","","43","140","6","0","50","315","64","62","87","19361"
"Carlos Rodon","SFG","8.6%","33.5%","8.3","","36","76","4","0","42","264","79","61","93","16137"
"Ryan Helsley","STL","8.3%","32.9%","","0.1","14","42","0","6","86","128","158","83","78","18138"
"Lucas Luetge","NYY","5.6%","30.6%","","2.1","11","52","0","1","105","132","0","162","174","8337"
"Cal Quantrill","CLE","6.4%","22.4%","7.2","","27","144","6","0","98","195","73","100","114","19312"
"Spencer Strider","ATL","5.6%","32.8%","6.1","","28","71","3","0","53","147","48","87","108","27498"
"David Robertson","PHI","9.5%","29.1%","","0.9","13","44","0","2","110","48","0","125","98","8241"
"Marcus Stroman","CHC","7.2%","31.0%","3.5","","29","122","5","0","83","152","109","81","87","13431"
"Kirk McCarty","CLE","9.8%","26.3%","","-2.5","9","54","0","0","116","108","188","84","73","20555"
"Cooper Criswell","TBR","0.0%","37.8%","1.2","","4","13","1","0","74","144","0","72","87","24975"
"Ryan Tepera","LAA","7.4%","29.7%","","1.2","12","41","0","4","78","217","167","96","112","10291"
"Joely Rodriguez","NYM","8.3%","33.1%","","0.9","11","37","0","0","61","202","82","55","60","11487"
"Sean Manaea","SDP","7.4%","29.2%","0.5","1.0","16","75","3","0","103","147","125","68","67","15873"
"Vince Velasquez","CHW","8.6%","33.1%","0.1","2.6","21","62","1","0","80","126","51","73","82","11189"
"Jackson Stephens","ATL","0.0%","23.1%","-0.1","1.1","4","39","1","0","119","37","0","89","77","14420"
"John Schreiber","BOS","7.7%","27.8%","","-0.1","10","42","0","1","109","60","86","124","112","20020"
"Erasmo Ramirez","WSN","5.9%","23.5%","","0.4","9","63","0","0","108","165","102","68","70","10314"
"Joe Mantiply","ARI","4.3%","30.3%","","0.1","6","31","0","0","84","110","129","136","125","14857"
"David Phelps","TOR","3.7%","25.0%","-0.1","-0.6","7","41","1","0","139","63","90","86","67","6316"
"Steven Wilson","SDP","0.0%","31.9%","0.6","1.7","13","40","1","0","85","119","0","92","114","20353"
"Andre Pallante","STL","3.1%","24.7%","","-1.4","4","41","0","0","124","29","87","126","99","26108"
"Craig Kimbrel","LAD","3.7%","28.9%","","-2.4","10","47","0","1","131","52","132","70","27","6655"
"Phil Maton","HOU","7.4%","37.8%","","1.0","18","50","0","0","69","163","136","84","98","18064"
"JT Chargois","TBR","7.0%","32.1%","-0.5","-0.6","11","57","2","0","99","199","164","68","70","13767"
"Logan Webb","SFG","1.6%","34.2%","7.0","","20","87","4","0","77","244","0","81","103","17995"
"Ross Stripling","TOR","13.3%","26.5%","5.9","","17","108","5","0","104","614","92","76","88","13273"
"Lance Lynn","CHW","2.9%","24.1%","5.4","","22","133","5","0","112","159","83","100","105","2520"
